Stereotype,abstract,category,collective,datatype,enumeration,event,historicalRole,historicalRoleMixin,kind,mixin,mode,phase,phaseMixin,quality,quantity,relator,role,roleMixin,situation,subkind,type,none,other
mode,0.023247159603519547,0.28147729008061956,0.1597121342185007,0.0198381018111836,-0.13809727734050495,0.17698037811852155,-0.19765615063864617,-0.09916070246537156,0.14662019058928233,0.16202843942831555,1.0,0.07290898916810508,0.022450787739239395,0.30553068627252894,0.0030788532674081064,0.029616143938937283,0.22515292887126717,0.1483457285042735,-0.10496389963527535,0.27903769854367694,0.20397841910477954,0.24046890815620128,-0.18348495292105751
phase,-0.07594158256618568,-0.1253174309024781,0.33657016699080705,0.009692127304810456,0.09132236723471623,0.13256006023307423,-0.045695269906985685,-0.1329881454070782,0.29529779521402344,0.1776793096736326,0.07290898916810508,1.0,0.15102887762932943,0.1597041022312434,0.18877005546790573,0.3383028509990352,0.42792820821102984,-0.003102118016900219,-0.08368512552794768,0.33333641995725144,-0.0030642199940202224,-0.04680890733708937,0.0261185585482026
phaseMixin,0.3675562921301446,0.11589292646784607,0.03739657515805665,0.12978173873776017,0.10525126004944618,-0.03529150888390908,-0.06569733394067546,0.3986361585660205,-0.015696557288365342,-0.033508392604908836,0.022450787739239395,0.15102887762932943,1.0,0.07532622901389385,-0.08838447434073406,-0.03152125839410116,-0.08465643433656199,0.26686952170916195,-0.03274115946637875,-0.07525692599861594,0.3190407689945849,-0.030673110272627976,-0.00892050931962755
quality,0.06901593373626748,0.33220234916001334,-0.021981985219102076,0.1290778099517064,-0.004222578799992418,0.1836366752506888,-0.06923138068617765,-0.06445320250044499,0.26352694800275667,0.21784937136929855,0.30553068627252894,0.1597041022312434,0.07532622901389385,1.0,0.033893683785665714,0.18509850520209878,0.18276142362141543,0.07032532670212555,0.1712567748413728,0.42555177306700465,0.18748393589721704,0.2628405487684834,-0.19115019722302298
quantity,-0.03005814219248857,-0.0035297490721311244,0.27376159415334084,0.14678337582274847,0.10030821384400561,0.26917963024678765,0.5409354701722011,0.16559567682848658,0.1237837560496773,-0.007541404012924486,0.0030788532674081064,0.18877005546790573,-0.08838447434073406,0.033893683785665714,1.0,0.18441162318114787,0.23035197688095346,0.06545317071380931,0.10833750592028185,0.11434054237133497,0.05200514002702413,0.06449477496062023,0.13026282068376913
relator,-0.14217709605372136,-0.1562700196909734,0.28495794055071905,-0.0545109253991711,0.10292004488169687,0.09280826955856832,0.1619277056508268,-0.0854579278659297,0.32118548941912833,0.0741870509745714,0.029616143938937283,0.3383028509990352,-0.03152125839410116,0.18509850520209878,0.18441162318114787,1.0,0.3649989304659715,0.1163415148716934,-0.1758529824096989,0.26547627719764466,0.04834207425232591,-0.1554274197237967,-0.1045191936975631
role,-0.12481082726832875,-0.093060349766694,0.18541272272493164,-0.08049577461278216,-0.02185718181929893,-0.07564474154552263,0.057223368868860786,-0.11740721658797046,0.39243584332847203,0.29946355602116437,0.22515292887126717,0.42792820821102984,-0.08465643433656199,0.18276142362141543,0.23035197688095346,0.3649989304659715,1.0,0.062096395128069005,-0.22107381555793384,0.23236321331326504,-0.15714122634566752,0.08029348994765835,-0.06271387474662889
roleMixin,0.13759257787434306,0.20875333937426324,-0.05465978823943885,-0.03279704564646217,0.0006077495366580069,0.3127613225790784,0.1172382790846909,0.1032230379350473,-0.2497376049576103,0.09490064759554954,0.1483457285042735,-0.003102118016900219,0.26686952170916195,0.07032532670212555,0.06545317071380931,0.1163415148716934,0.062096395128069005,1.0,0.22482542592593957,-0.06034530444272723,0.3946084920816467,0.1936293233033741,-0.19001064466375958
situation,0.23623090820361056,0.2738203221849882,-0.29210489371249293,0.1132784807214851,0.011883591227861107,0.520390211915404,0.21981494517236533,0.0818266258466496,-0.22674355717987787,-0.12678098264776963,-0.10496389963527535,-0.08368512552794768,-0.03274115946637875,0.1712567748413728,0.10833750592028185,-0.1758529824096989,-0.22107381555793384,0.22482542592593957,1.0,-0.05257232324014087,0.14269713096121067,0.10168593544581105,0.15164760823084344
subkind,-0.1376852878452525,0.2578100323965298,0.1771234906715053,0.07970944146471336,0.006464994998374523,0.06229169329451991,-0.05652352450339326,-0.1077944239991009,0.6066346664020397,0.03740636348520522,0.27903769854367694,0.33333641995725144,-0.07525692599861594,0.42555177306700465,0.11434054237133497,0.26547627719764466,0.23236321331326504,-0.06034530444272723,-0.05257232324014087,1.0,-0.02212012261202953,-0.0006193540579953301,-0.06830224825871689
type,0.22983430769179988,0.34957966704865373,0.11412273252908466,0.05262651215178146,0.10156365558797623,0.3302555382474731,0.0419796604377125,0.36831828678358086,-0.2533279273769096,0.05226765623448642,0.20397841910477954,-0.0030642199940202224,0.3190407689945849,0.18748393589721704,0.05200514002702413,0.04834207425232591,-0.15714122634566752,0.3946084920816467,0.14269713096121067,-0.02212012261202953,1.0,0.03988244873794827,-0.20155047794044434
none,0.23011684044829334,0.18084982282918793,-0.11738529803371804,0.09357498605691596,-0.10929936604796292,0.07342848049343359,0.03350172697898699,0.08026572817501976,0.02988950755831834,0.13096309147037732,0.24046890815620128,-0.04680890733708937,-0.030673110272627976,0.2628405487684834,0.06449477496062023,-0.1554274197237967,0.08029348994765835,0.1936293233033741,0.10168593544581105,-0.0006193540579953301,0.03988244873794827,1.0,-0.020778040301502248
other,-0.040474069535221625,-0.07130690898175303,-0.033562478743101753,0.006974816718235856,-0.09251600193572858,-0.03445303812183288,0.10004986388542053,-0.07087778872497362,0.010808345003184939,-0.1631991860466403,-0.18348495292105751,0.0261185585482026,-0.00892050931962755,-0.19115019722302298,0.13026282068376913,-0.1045191936975631,-0.06271387474662889,-0.19001064466375958,0.15164760823084344,-0.06830224825871689,-0.20155047794044434,-0.020778040301502248,1.0
