model,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers,none,other
castro2012cloudvulnerability,0,0,0,0,0,2,0,0,0,0,6,13,0,0,0,0,0,0,0,1,5
cgts2021sebim,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0
chartered-service,0,2,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,5
clergy-ontology,0,0,0,0,0,6,0,0,0,0,7,14,3,0,0,3,0,0,0,0,0
cmpo2017,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,60,0
construction-model,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,2,0,0,0,0,0
core-o2023,2,4,0,2,1,0,0,0,5,2,0,0,0,1,0,0,0,0,2,28,0
cunha2025soberana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dcat-mlt-ufo2023,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,22,0
demori2023miscon,0,9,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,14,0
derave2019dpo,0,4,0,2,11,0,4,7,4,0,1,38,10,51,8,5,1,0,0,153,0
digitaldoctor2022,0,0,0,5,0,1,0,0,0,0,9,8,0,0,0,0,0,0,0,0,0
dpo2017,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,44,0
duarte2020jogabilidade,0,4,0,0,0,1,0,0,0,0,1,2,0,2,0,0,0,0,1,6,4
elghosh2020cargos,0,4,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,1,5,1
elghosh2024eucaim,3,9,0,0,0,0,0,0,0,0,14,0,0,4,0,0,0,0,0,0,0
elghosh2025crimonto,0,12,0,0,0,0,8,0,0,0,30,11,0,0,0,0,0,0,0,14,0
elikan2018brand-identity,0,8,0,0,0,1,0,0,0,0,3,2,5,0,0,0,0,0,0,7,5
eu-rent-refactored2022,0,0,0,0,0,11,0,0,0,0,11,26,0,0,0,0,0,0,0,2,0
experiment2013,0,1,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12
falduci2022non-consensual-pornography,0,8,0,0,4,4,0,0,0,0,4,11,0,0,0,0,0,0,0,7,0
fernandez-cejas2022curie-o,0,1,0,0,3,0,0,4,0,0,0,4,1,5,0,0,0,0,0,3,0
ferreira2015ontoemergeplan,0,7,0,5,0,0,0,0,0,0,6,16,2,0,0,0,0,0,0,14,71
ferreira2024ontopix,0,5,0,2,2,1,0,1,9,1,3,2,0,14,0,0,0,0,0,16,0
fischer2018ontorea,0,0,0,0,0,2,0,0,0,0,2,4,1,0,0,0,0,0,0,4,10
fonseca2022incorporating,0,3,0,0,0,1,1,0,4,0,0,12,0,0,0,0,0,0,0,0,0
formula-one2023,0,1,0,1,0,1,0,0,0,0,2,4,1,0,0,0,0,0,0,3,0
fraller2019abc,0,0,0,0,0,0,0,0,0,0,6,12,0,0,0,0,0,0,0,12,16
franco2018rpg,0,4,0,5,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,12,0
freshbz2023,0,18,0,19,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0
fumagalli2022criminal-investigation,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0
g809-2015,0,0,0,8,0,2,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0
gailly2016value,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
garcia2022human-genome-events,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0
genealogy2013,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
gi2mo,0,3,0,0,0,11,0,0,0,0,10,27,1,0,0,1,0,0,0,9,1
gomes2022digital-technology,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,12,0
goncalves2011ecg,0,5,0,21,2,6,0,2,0,0,12,24,2,10,0,3,0,0,0,78,0
guarino2016value,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,12,9
guarino2018rea,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0
guizzardi2005ontological,0,1,0,4,0,2,0,0,0,0,2,6,1,0,0,0,0,0,0,4,5
guizzardi2020decision-making,0,6,0,0,3,0,4,0,1,3,0,7,0,3,0,0,0,0,0,33,1
guizzardi2022ufo,0,4,0,5,0,1,3,0,2,1,1,14,1,0,0,0,0,0,0,3,5
haridy2021egyptian-e-government,0,2,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
health-organizations,0,0,0,0,0,1,0,0,0,0,6,2,0,0,0,0,0,0,0,0,4
heirbrant2023boekbazaar,0,0,0,0,2,1,0,0,0,0,0,2,0,1,0,0,0,0,0,40,13
idaf2013,0,0,0,6,0,0,0,0,0,0,2,7,10,0,0,0,0,0,0,3,0
internal-affairs2013,0,0,0,6,0,8,0,0,0,0,8,22,4,0,0,0,0,0,0,0,6
internship,0,0,0,0,0,1,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0
it-infrastructure,0,0,0,12,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
jacobs2022sdpontology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
junior2018o4c,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
khantong2020ontology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
kostov2017towards,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,32,1
kritz2020ontobg,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37
laurier2018rea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1
leao2024ontomed,0,1,0,0,1,0,0,1,7,1,0,4,0,2,0,0,0,0,0,8,0
library,0,0,0,0,0,1,0,0,0,0,1,37,4,0,0,0,0,0,0,1,1
lindeberg2022full-ontorights,4,22,9,13,4,4,0,0,0,0,20,26,3,2,0,0,0,2,1,4,0
lindeberg2022simple-ontorights,3,0,8,11,3,1,0,0,0,0,13,17,1,2,0,0,0,2,0,7,0
lindeberg2024legal-enforcement,0,5,0,0,11,0,4,5,0,5,4,7,0,9,0,0,0,5,0,6,0
machacova2023gym,0,8,0,4,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0
maddalena2021ontocovid,0,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,58,0
martinez2013human-genome,0,0,0,0,0,2,0,0,0,0,2,4,2,0,0,2,0,0,0,0,3
meirelles2024credit-operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
melo2024onto-educational,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
mgic-antt2011,0,101,0,176,0,64,0,0,0,0,154,1047,115,0,0,11,2,0,0,4,108
moreira2018saref4health,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5
music-ontology,0,0,0,3,0,0,0,0,0,0,1,6,3,0,0,0,0,0,0,1,1
nardi2015ufo-s,0,6,0,0,0,0,6,0,0,0,0,6,1,4,0,0,0,0,0,0,25
nascimento2023spacecon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
nazar2024marchine-learning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
neves2020nwpontology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
neves2021grain-production,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
niederkofler2019dssapple,0,4,0,1,0,0,0,2,5,1,0,8,2,8,0,0,0,0,0,4,8
o3ontology2015,0,5,0,9,0,2,0,0,0,0,7,43,2,0,0,1,1,0,0,75,75
oliveira2007collaboration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
oliveira2022rose,4,15,0,0,0,0,2,4,7,3,0,0,0,7,0,0,0,0,3,41,0
oliveira2024phishing,4,20,0,0,0,0,4,5,8,7,0,0,0,15,1,0,0,0,4,41,0
online-mentoring,0,0,0,0,0,1,0,0,0,0,7,6,2,0,0,0,0,0,0,0,0
parking-business2013,0,0,0,1,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,8
peixoto2025anchorlogy,0,10,1,0,6,0,10,1,1,13,0,0,0,4,0,0,0,0,0,1,0
pereira2015doacao-orgaos,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0
pereira2020ontotrans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0
photography,0,0,0,0,0,0,0,0,0,0,2,4,5,0,0,0,0,0,0,0,0
piest2024dsr-kb,0,16,3,8,0,0,0,1,0,1,16,21,0,0,0,0,0,0,0,0,0
pinheiro2024api,0,0,1,0,1,5,0,2,0,0,4,12,1,4,0,0,0,0,0,4,0
plato-ontology2019,0,4,0,24,0,1,0,0,0,0,2,6,7,0,0,0,0,0,0,26,0
porello2020coex,0,5,0,2,1,0,6,1,2,1,0,4,0,4,0,0,0,0,0,11,0
ppo-o2021,2,1,0,0,0,1,0,0,0,0,1,0,0,6,0,0,0,0,2,29,0
project-assets2013,0,0,0,0,0,6,0,0,0,0,6,14,1,0,0,0,0,0,0,0,1
project-management-ontology,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
public-expense-ontology2020,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
public-organization2013,0,0,0,9,0,3,0,0,0,0,3,6,10,0,0,0,0,0,0,0,0
public-tender,0,0,0,1,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,1
qam,0,1,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,5
quality-assurance-process-ontology2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0
ramirez2015userfeedback,0,7,0,9,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,8,0
ramos2021bias,0,8,0,0,3,0,1,0,1,4,0,0,0,6,0,0,0,0,0,6,1
real-estate-ontology,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
recommendation-ontology,0,0,0,0,0,1,0,0,0,0,2,4,0,0,0,0,0,0,0,0,3
repa2021public-administration,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0
road-accident2013,0,0,0,0,0,1,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0
rocha2023ciencia-aberta,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,16,0
rodrigues2017urinary-profiles,0,3,0,0,0,4,0,0,0,0,4,11,0,0,0,0,0,0,0,21,19
rodrigues2019ontocrime,0,0,0,0,0,5,0,0,0,0,0,12,0,0,0,0,0,0,0,40,0
rodrigues2019turbidite,0,0,0,0,0,3,0,0,0,0,0,14,0,0,0,0,0,0,0,42,40
romanenko2023what,0,7,0,0,2,0,1,0,0,0,0,10,3,3,0,0,0,0,0,5,0
sales2018competition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
sales2018cover,3,11,0,0,0,0,2,5,2,3,0,6,0,11,0,0,0,0,2,13,0
santos2020valuenetworks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
sariev2024maritime,0,15,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,32,0
schoonderbeek2024eamon,0,1,0,5,0,30,0,0,0,0,30,60,0,0,0,0,0,0,0,2,0
scientific-experiment2013,0,1,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10
scientific-publication2013,0,0,0,3,0,0,0,0,0,0,4,11,0,0,0,0,0,0,0,0,0
services2015,0,14,0,9,0,1,2,0,0,0,1,10,1,0,0,0,0,0,0,32,21
short-examples2013,0,0,0,2,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,4,2
sikora2021online-education,0,9,0,0,0,0,0,0,0,0,32,4,0,0,0,0,0,0,0,13,0
silva2012itarchitecture,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,27,0
silva2021sebim,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,19,0
silva2023onto4caal,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0
silva2023onto4elev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0
silveira2021oap,0,3,0,1,0,0,2,0,0,0,8,2,2,0,0,0,0,0,0,6,1
soares2024fair,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,9,0
social-contract,0,0,0,12,0,1,0,0,0,0,2,9,0,0,0,4,0,0,0,0,5
social-contracts2013,0,0,0,12,0,3,0,0,0,0,3,6,0,0,0,4,0,0,0,0,8
sousa2022triponto,0,0,0,0,0,4,0,0,0,0,7,24,0,0,0,0,0,0,0,1,0
spmo2017,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,25,0
spo2017,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,87,0
sportbooking2021,0,0,0,0,0,2,0,0,0,0,6,21,0,0,0,0,0,0,0,8,1
srro-ontology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
stock-broker2021,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
telecom-equipment2013,0,0,0,0,0,9,0,0,0,0,14,18,0,0,0,0,0,0,0,0,0
tender2013,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,2
tesolin2023hint,0,3,0,0,0,5,4,0,0,0,0,2,0,0,0,0,0,0,0,39,0
tourbo2021,0,1,0,0,0,2,0,0,0,0,4,7,0,0,0,0,0,0,0,7,0
unimatch-ontology2022,0,1,1,10,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,4,0
university-ontology,0,2,0,2,0,4,0,0,0,0,3,8,0,0,0,0,0,0,0,14,0
valaski2020medical-appointment,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1
van-ee2021modular,1,1,1,6,0,0,0,0,0,0,51,2,0,1,0,0,0,0,0,3,0
van-wingerde2020smart-contracts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0
vieira2020weathering,0,5,0,0,1,1,0,0,0,0,1,2,0,6,0,0,0,0,0,44,0
weigand2021artifact,2,4,0,2,3,0,0,7,7,3,6,0,0,10,0,0,0,0,0,2,0
xhani2023xmlpo,0,19,0,0,9,0,0,0,0,0,0,18,0,30,7,0,0,0,0,9,0
zanetti2019orm-o,0,1,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,4,0
zhou2017hazard-ontology-robotic-strolling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
zhou2017hazard-ontology-train-control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
